"INDUSTRIALIZADOR","UF FÁBR","PRODUTO","TIPO PRODUTO","CERTIFICAÇÃO","CATEGORIA"
"MASSIMO ZANETTI BEVERAGE BRASIL LTDA","SP","SEMPRE VALE TRADICIONAL","TM","Pureza",""
"MASSIMO ZANETTI BEVERAGE BRASIL LTDA","SP","SESCAMP","TM","Pureza",""
"MASSIMO ZANETTI BEVERAGE BRASIL LTDA","SP","SOROCABANO","TM","Pureza",""
"MASSIMO ZANETTI BEVERAGE BRASIL LTDA","SP","SMC CUBATAO","TM","Pureza",""
"MASSIMO ZANETTI BEVERAGE BRASIL LTDA","SP","TRADICAO","TM","Pureza, Qualidade","Tradicional"
"MASSIMO ZANETTI BEVERAGE BRASIL LTDA","SP","TRADICAO EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"MASSIMO ZANETTI BEVERAGE BRASIL LTDA","SP","TRADICAO TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"MASSIMO ZANETTI BEVERAGE BRASIL LTDA","SP","VARGINHA","TM","Pureza, Qualidade","Tradicional"
"MATAS DE MINAS COMERCIO DE CAFE LTDA","MG","SANTORINI CAFES ESPECIAIS","TM","Pureza",""
"MELCAFE IND. E COM. DE CAFE LTDA","GO","MELCAFE EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"MELCAFE IND. E COM. DE CAFE LTDA","GO","MELCAFE TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"MELCAFE IND. E COM. DE CAFE LTDA","GO","RECHEIO","TM","Pureza, Qualidade","Extraforte"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","BARAO EXTRA FORTE","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","BARAO FORTE DEMAIS","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","BARAO TRADICIONAL","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","BOM JESUS EF SUP","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","BOM JESUS ESPRESSO","GR","Pureza, Qualidade, Sustentabilidade","Gourmet"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","BOM JESUS EXTRA FORTE","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","BOM JESUS TRADICIONAL","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","BOM JESUS TRADICIONAL SUP FARROUP","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","FORTE D+","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA AUDACCE","CAP","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA DESCAFEINADO CLASSICO","TM","Pureza, Qualidade, Sustentabilidade","Superior"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA ESPECIAL","TM","Pureza, Qualidade, Sustentabilidade","Superior"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA INSTITUCIONAL","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA MARCATO","CAP","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA RB","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA RISTRETTO","CAP","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA STACCATO","CAP","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA TENUTO","CAP","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","MELITTA TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","REGIOES BRASILEIRAS CERRADO","TM","Pureza, Qualidade, Sustentabilidade","Gourmet"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","REGIOES BRASILEIRAS MOGIANA","TM","Pureza, Qualidade, Sustentabilidade","Gourmet"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","REGIOES BRASILEIRAS PLANALTO BAIANO","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","REGIOES BRASILEIRAS SUL DE MINAS","TM","Pureza, Qualidade, Sustentabilidade","Gourmet"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","SABOR DA FAZENDA TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","SENIO DESCAFEINADO","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","SENIO EXTRAFORTE","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","SENIO SPRESSO","GR","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","SENIO TRADICIONAL","TM","Pureza",""
"MELITTA DO BRASIL IND. E COM. LTDA.","SP","SPRESSO MELITTA","GR","Pureza, Qualidade, Sustentabilidade","Gourmet"
"MOINHO PAQUETA IND. E COM. LTDA.","BA","DONA LITA TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"MOINHO PAQUETA IND. E COM. LTDA.","BA","JEQUIE","TM","Pureza, Qualidade","Tradicional"
"MOINHO PAQUETA IND. E COM. LTDA.","BA","JEQUIE – GRAOS PARA CAFE EXPRESSO","GR","Pureza, Qualidade","Gourmet"
"MOINHO PAQUETA IND. E COM. LTDA.","BA","JEQUIE EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"MOINHO PAQUETA IND. E COM. LTDA.","BA","JEQUIE SUPERIOR","TM","Pureza, Qualidade","Superior"
"MOINHO PAQUETA IND. E COM. LTDA.","BA","PAQUETA","TM","Pureza, Qualidade","Tradicional"
"MOINHO PAQUETA IND. E COM. LTDA.","BA","PAQUETA EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"MOINHO PATOENSE LTDA.","PB","PATOENSE","TM","Pureza, Qualidade","Tradicional"
"MOINHO PATOENSE LTDA.","PB","PATOENSE EMBALAGEM PRATA","TM","Pureza, Qualidade","Tradicional"
"MOINHO PETINHO IND. E COM. LTDA.","PE","BOA VIAGEM","TM","Pureza",""
"MOINHO PETINHO IND. E COM. LTDA.","PE","MARIA BONITA EM GRAO","GR","Pureza, Qualidade","Superior"
"MOINHO PETINHO IND. E COM. LTDA.","PE","MARIA BONITA SUPERIOR","TM","Pureza",""
"MOINHO PETINHO IND. E COM. LTDA.","PE","PETINHO","TM","Pureza, Qualidade","Tradicional"
"MOINHO PETINHO IND. E COM. LTDA.","PE","PETINHO TRADICIONAL","GR","Pureza, Qualidade","Tradicional"
"MOINHO PETINHO IND. E COM. LTDA.","PE","PRETINHO","GR","Pureza, Qualidade","Tradicional"
"MOINHO PETINHO IND. E COM. LTDA.","PE","PRETINHO EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"MOINHO PETINHO IND. E COM. LTDA.","PE","PRETINHO TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"MOINHO TABAJARA LTDA.","BA","TABAJARA","TM","Pureza",""
"MOINHO TABAJARA LTDA.","BA","TABAJARA EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"MOINHO TABAJARA LTDA.","BA","TABAJARA TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"MULTICOM COM. MULTIPLO DE ALIMENTS. LTDA.","MG","SAVASSI SUPERIOR","TM","Pureza, Qualidade","Superior"
"MULTICOM COM. MULTIPLO DE ALIMENTS. LTDA.","MG","SAVASSI TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"NATANAEL LUZ CAIRES","BA","SAO FELIX","TM","Pureza, Qualidade","Tradicional"
"NESTLE BRASIL LTDA","SP","NESCAFE – GOLD INTENSO","TM","Pureza, Qualidade","Gourmet"
"NESTLE BRASIL LTDA","SP","NESCAFE DOLCE GUSTO BARISTA","CAP","Pureza",""
"NESTLE BRASIL LTDA","SP","NESCAFE DOLCE GUSTO CASEIRO","CAP","Pureza",""
"NESTLE BRASIL LTDA","SP","NESCAFE DOLCE GUSTO CASEIRO INTENSO","CAP","Pureza",""
"NESTLE BRASIL LTDA","SP","NESCAFE DOLCE GUSTO ESPRESSO","CAP","Pureza",""
"NESTLE BRASIL LTDA","SP","NESCAFE DOLCE GUSTO LUNGO","CAP","Pureza",""
"NESTLE BRASIL LTDA","SP","NESCAFE DOLCE GUSTO MATINAL","CAP","Pureza",""
"NESTLE BRASIL LTDA","SP","NESCAFE DOLCE GUSTO ORIGEM BRASIL ESPRESSO","CAP","Pureza",""
"NESTLE BRASIL LTDA","SP","NESCAFE DOLCE GUSTO ORIGEM BRASIL ORGANICO","CAP","Pureza",""
"NESTLE BRASIL LTDA","SP","NESCAFE DOLCE GUSTO RISTRETTO ARDENZA","CAP","Pureza",""
"NESTLE BRASIL LTDA","SP","NESCAFE ESPRESSO","GR","Pureza, Qualidade","Superior"
"NESTLE BRASIL LTDA","SP","NESCAFE GOLD – EQUILIBRADO","TM","Pureza, Qualidade, Sustentabilidade","Gourmet"
"NESTLE BRASIL LTDA","SP","NESCAFE GOLD – SUAVE","TM","Pureza, Qualidade, Sustentabilidade","Gourmet"
"NESTLE BRASIL LTDA","SP","NESCAFE INTENSIDADE MAXIMA","TM","Pureza, Qualidade, Sustentabilidade","Superior"
"NESTLE BRASIL LTDA","SP","NESCAFE ORIGENS DO BRASIL – CHAPADA DIAMANTINA","TM","Pureza, Qualidade, Sustentabilidade","Gourmet"
"NESTLE BRASIL LTDA","SP","NESCAFE ORIGENS DO BRASIL – SAO SEBASTIAO DO PARAISO","TM","Pureza, Qualidade, Sustentabilidade","Gourmet"
"NESTLE BRASIL LTDA","SP","NESCAFE ORIGENS DO BRASIL – SERRAS DO ALTO PARANAIBA","TM","Pureza, Qualidade, Sustentabilidade","Gourmet"
"NILTON PEDRO EVANGELISTA DE SALES CIA. LTDA.","PE","PINGA FOGO","TM","Pureza",""
"NORMA SUELI AGUIAR – ME","BA","ITUACU","TM","Pureza, Qualidade","Tradicional"
"NORMA SUELI AGUIAR – ME","BA","ITUACU GOURMET","TM","Pureza, Qualidade","Gourmet"
"NORMA SUELI AGUIAR – ME","BA","TAMANDUA","TM","Pureza, Qualidade","Tradicional"
"NOSSO CAFE IND. E COM. LTDA.","MG","ITAIM","TM","Pureza, Qualidade","Extraforte"
"NUTRIALIMENTAR IND. E COM. LTDA – ME","SP","RAMA RICA","GR","Pureza",""
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","GUIMARAES TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","JUBILEU EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","JUBILEU TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","GOURMET EXPRESSO","CAP","Pureza, Qualidade","Intensidade 6"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","ODEBRECHT EXPRESSO","GR","Pureza, Qualidade","Gourmet"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","ODEBRECHT GOLDEN","TM","Pureza, Qualidade","Tradicional"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","ODEBRECHT GOLDEN EXTRA FORTE","TM","Pureza, Qualidade","Tradicional"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","ODEBRECHT GOURMET","TM","Pureza, Qualidade","Gourmet"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","ODEBRECHT PREMIUM","TM","Pureza, Qualidade","Tradicional"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","ODEBRECHT SUPERIOR","TM","Pureza, Qualidade","Superior"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","ODEBRECHT TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","OTTO","TM","Pureza, Qualidade","Superior"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","OTTO EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","OTTO TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","PARANA EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","PARANA TRADICIONAL","TM","Pureza",""
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","PERFETTO GRANO","TM","Pureza, Qualidade","Superior"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","PERFETTO GRANO GRAO","GR","Pureza, Qualidade","Superior"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","VILLA RICA EXTRA FORTE","TM","Pureza, Qualidade","Tradicional"
"ODEBRECHT – COM. E IND. DE CAFE LTDA.","PR","VILLA RICA TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"OLG IND. E COM. EIRELI","RO","DO RANCHO TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"OLG IND. E COM. EIRELI","RO","NOVA ERA","TM","Pureza, Qualidade","Tradicional"
"ORGANIZACOES JUNQUEIRA AGROPECUARIA LTDA","MG","CURRAL DE MINAS ESPRESSO","GR","Pureza, Qualidade","Superior"
"ORGANIZACOES JUNQUEIRA AGROPECUARIA LTDA","MG","CURRAL DE MINAS GOURMET","TM","Pureza, Qualidade","Gourmet"
"ORGANIZACOES JUNQUEIRA AGROPECUARIA LTDA","MG","CURRAL DE MINAS TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"ORGEMA CAFES ESPECIAIS LTDA","SP","BARAO DO RIO BRANCO – PREMIUM","CAP","Pureza, Qualidade","Intensidade 8"
"ORGEMA CAFES ESPECIAIS LTDA","SP","BARAO DO RIO BRANCO – PREMIUM","TM","Pureza, Qualidade","Superior"
"ORGEMA CAFES ESPECIAIS LTDA","SP","BARAO DO RIO BRANCO – PREMIUM","GR","Pureza, Qualidade","Superior"
"ORGEMA CAFES ESPECIAIS LTDA","SP","BARAO DO RIO BRANCO GOURMET","GR","Pureza, Qualidade","Gourmet"
"ORGEMA CAFES ESPECIAIS LTDA","SP","VERMONT TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"PEDRA AZUL BRASILEIRA  IND. E COM. LTDA – ME","ES","PEDRA AZUL SUPERIOR","TM","Pureza, Qualidade","Superior"
"PEDRA AZUL BRASILEIRA  IND. E COM. LTDA – ME","ES","PEDRA AZUL TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"PIANOVSKI IND. E COM. DE CAFE E CEREAIS LTDA.","MT","PIANOVSKI TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"PORTO BRASIL IND. COM. DE PRODS. ALIMENTS. LTDA.","PR","BITUMIRIM","TM","Pureza, Qualidade","Extraforte"
"POSSANI & ALMEIDA LTDA.","PR","BRASIL ALMOFADA","TM","Pureza",""
"POSSANI & ALMEIDA LTDA.","PR","BRASIL VACUO","TM","Pureza",""
"POSSANI & ALMEIDA LTDA.","PR","MINEIRO","TM","Pureza",""
"POSSANI & ALMEIDA LTDA.","PR","MINEIRO EXTRAFORTE","TM","Pureza",""
"PRADO CAFES ESPECIAIS LTDA – ME","MG","PRADO GOURMET","TM","Pureza, Qualidade, Sustentabilidade","Gourmet"
"PRADO CAFES ESPECIAIS LTDA – ME","MG","PRADO GOURMET","GR","Pureza",""
"PRADO CAFES ESPECIAIS LTDA – ME","MG","PRADO SUPERIOR","TM","Pureza, Qualidade","Superior"
"PRADO CAFES ESPECIAIS LTDA – ME","MG","SERRA MATINADA TRADICIONAL","TM","Pureza",""
"PRATA DOS SANTOS IND. E COM. LTDA.","MG","PRODUTOR","TM","Pureza, Qualidade","Tradicional"
"PRATA DOS SANTOS IND. E COM. LTDA.","MG","PRODUTOR EXPRESSO","TM","Pureza, Qualidade","Gourmet"
"PRATA DOS SANTOS IND. E COM. LTDA.","MG","PRODUTOR EXPRESSO TORRADO EM GRAO","GR","Pureza, Qualidade","Gourmet"
"PRATA DOS SANTOS IND. E COM. LTDA.","MG","PRODUTOR EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"PRATA DOS SANTOS IND. E COM. LTDA.","MG","PRODUTOR TORRADO EM GRAO","GR","Pureza, Qualidade","Superior"
"PRATA DOS SANTOS IND. E COM. LTDA.","MG","VO EMILIA","TM","Pureza, Qualidade","Tradicional"
"PROD. ALIMENTICIOS RIBAMAR CUNHA LTDA.","MA","TERRA NORTE","TM","Pureza, Qualidade","Extraforte"
"PROD. ALIMENTICIOS RIBAMAR CUNHA LTDA.","MA","TERRA NORTE","GR","Pureza",""
"PROD. ALIMENTICIOS RIBAMAR CUNHA LTDA.","MA","VIANA","TM","Pureza, Qualidade","Tradicional"
"PROD. ALIMENTICIOS RIBAMAR CUNHA LTDA.","MA","VIANA GRAO EXPRESSO","GR","Pureza",""
"PROD. ALIMENTICIOS RIBAMAR CUNHA LTDA.","MA","VIANA GRAO MOIDO NA HORA","TM","Pureza",""
"PROD. ALIMENTICIOS RIBAMAR CUNHA LTDA.","MA","VIANA VACUO PREMIUM","TM","Pureza",""
"PRODS. ALIMENTS. MARIA ROSA LTDA.","BA","MARIA ROSA","TM","Pureza",""
"PRODS. ALIMENTS. MARIA ROSA LTDA.","BA","PAQUERA","TM","Pureza",""
"QUALITY COMERCIO DE PRODUTOS ALIMENTICIOS LTDA","AM","REGIONAL DA AMAZONIA","TM","Pureza, Qualidade","Tradicional"
"QUALITY COMERCIO DE PRODUTOS ALIMENTICIOS LTDA","AM","REGIONAL DA AMAZONIA	SUPERIOR","TM","Pureza, Qualidade","Superior"
"R. CAFE E CIA LTDA","GO","DO VOVO","TM","Pureza, Qualidade","Tradicional"
"R. CAFE E CIA LTDA","GO","PARA O LAR","TM","Pureza, Qualidade","Tradicional"
"R. CAFE E CIA LTDA","GO","RIO NEGRO","TM","Pureza",""
"R. J. BAIARDI CAFE LTDA","MG","AFRIKA","TM","Pureza, Qualidade, Sustentabilidade","Tradicional"
"R. J. BAIARDI CAFE LTDA","MG","FAZENDA JULIANA – FORTE","CAP","Pureza",""
"R. J. BAIARDI CAFE LTDA","MG","FAZENDA JULIANA – MEDIO","CAP","Pureza, Qualidade","Intensidade 5"
"R. J. BAIARDI CAFE LTDA","MG","FAZENDA JULIANA – RESERVA CARMELO","TM","Pureza",""
"R. J. BAIARDI CAFE LTDA","MG","FAZENDA JULIANA – SUAVE","CAP","Pureza, Qualidade","Intensidade 4"
"R. J. BAIARDI CAFE LTDA","MG","RESERVA CARMELO","TM","Pureza, Qualidade, Sustentabilidade","Superior"
"R. J. BAIARDI CAFE LTDA","MG","RESERVA CARMELO EM GRAO","GR","Pureza, Qualidade, Sustentabilidade","Superior"
"R. J. BAIARDI CAFE LTDA","MG","SABOR DO CERRADO GOURMET","GR","Pureza",""
"R. J. BAIARDI CAFE LTDA","MG","SUPER JOIA","TM","Pureza",""
"RAROSABOR IND. E COM. DE ALIMS. E BEBIDAS LTDA","BA","KIGOLE","TM","Pureza, Qualidade","Tradicional"
"RAROSABOR IND. E COM. DE ALIMS. E BEBIDAS LTDA","BA","RAROSABOR","TM","Pureza",""
"REALCAFE SOLUVEL DO BRASIL S.A.","ES","CAFUSO","TM","Pureza, Qualidade","Tradicional"
"REALCAFE SOLUVEL DO BRASIL S.A.","ES","CAFUSO EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"REALCAFE SOLUVEL DO BRASIL S.A.","ES","CAFUSO TRADICIONAL","TM","Pureza",""
"RESERVA NATURAL IND. E COM. LTDA","MG","RESERVA NATURAL SITIO SAO FRANCISCO EXPRESSO","GR","Pureza, Qualidade","Superior"
"RESERVA NATURAL IND. E COM. LTDA","MG","RESERVA NATURAL SITIO SAO FRANCISCO GOURMET","TM","Pureza",""
"RESERVA NATURAL IND. E COM. LTDA","MG","RESERVA NATURAL SITIO SAO FRANCISCO GOURMET EXPRESSO","GR","Pureza, Qualidade","Gourmet"
"RESERVA NATURAL IND. E COM. LTDA","MG","RESERVA NATURAL SITIO SAO FRANCISCO SUPERIOR","TM","Pureza, Qualidade","Superior"
"RESERVA NATURAL IND. E COM. LTDA","MG","RESERVA NATURAL SITIO SAO FRANCISCO TRADICIONAL EXTRA FORTE","TM","Pureza, Qualidade","Tradicional"
"RF TORREF. DE CAFE LTDA","RJ","SANTO CRISTO","TM","Pureza, Qualidade","Tradicional"
"RIBEIRO MENDES COM. DE CEREAIS E GRAOS LTDA","ES","DUALTO EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"RIBEIRO MENDES COM. DE CEREAIS E GRAOS LTDA","ES","DUALTO TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"RIBEIRO MENDES COM. DE CEREAIS E GRAOS LTDA","ES","VENEZA EXTRA FORTE","TM","Pureza",""
"RIBEIRO MENDES COM. DE CEREAIS E GRAOS LTDA","ES","VENEZA TRADICIONAL","TM","Pureza",""
"RITA DE CASSIA REIS ABREU – ME","ES","BONJESUENSE","TM","Pureza",""
"RITA DE CASSIA REIS ABREU – ME","ES","K-LICE FORTE","TM","Pureza",""
"RITA DE CASSIA REIS ABREU – ME","ES","MANCHETE EXTRAFORTE","TM","Pureza",""
"ROMANO E CIA. LTDA.","GO","CORINGA","TM","Pureza, Qualidade","Tradicional"
"ROMANO E CIA. LTDA.","GO","CORINGA EXPRESSO","GR","Pureza, Qualidade","Superior"
"ROMANO E CIA. LTDA.","GO","GIGANTE","TM","Pureza, Qualidade","Tradicional"
"ROMANO E CIA. LTDA.","GO","PIRAMIDE","TM","Pureza, Qualidade","Tradicional"
"ROMANO E CIA. LTDA.","GO","PIRAMIDE EXTRA FORTE","TM","Pureza, Qualidade","Tradicional"
"S PARENTE ME","AC","NAUAS","TM","Pureza, Qualidade","Tradicional"
"S PARENTE ME","AC","NAUAS ESPRESSO","GR","Pureza",""
"S PARENTE ME","AC","NAUAS EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"SAN BABILA CAFE LTDA – EPP","SP","SAN BABILA ESPRESSO","CAP","Pureza, Qualidade","Intensidade 4"
"SAN BABILA CAFE LTDA – EPP","SP","SAN BABILA ESPRESSO","GR","Pureza, Qualidade","Gourmet"
"SANTA TEREZINHA TORREF. E MOAG. DE CAFE LTDA.-ME","SP","MOINHO SIMONENSE","TM","Pureza, Qualidade","Tradicional"
"SANTA TEREZINHA TORREF. E MOAG. DE CAFE LTDA.-ME","SP","SIMONENSE","TM","Pureza, Qualidade","Tradicional"
"SANTA TEREZINHA TORREF. E MOAG. DE CAFE LTDA.-ME","SP","SIMONENSE EXPRESSO","GR","Pureza, Qualidade","Superior"
"SANTA TEREZINHA TORREF. E MOAG. DE CAFE LTDA.-ME","SP","SIMONENSE EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"SANTINA IMACULADA BONINI PARDO – ME","SP","DONA SANTINA","TM","Pureza, Qualidade","Superior"
"SANTINA IMACULADA BONINI PARDO – ME","SP","DONA SANTINA GRAO","GR","Pureza, Qualidade","Superior"
"SANTINA IMACULADA BONINI PARDO – ME","SP","SITIO OLHO D’AGUA","TM","Pureza, Qualidade","Tradicional"
"SANTO ANDRE ALIM. IND. COM. IMP. E EXP. LTDA","SP","CAUBOI","TM","Pureza, Qualidade","Tradicional"
"SANTO ANDRE ALIM. IND. COM. IMP. E EXP. LTDA","SP","SANTO ANDRE","TM","Pureza, Qualidade","Tradicional"
"SANTO ANDRE ALIM. IND. COM. IMP. E EXP. LTDA","SP","SANTO ANDRE ESPRESSO","GR","Pureza, Qualidade","Gourmet"
"SANTO ANDRE ALIM. IND. COM. IMP. E EXP. LTDA","SP","SANTO ANDRE EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"SANTO ANDRE ALIM. IND. COM. IMP. E EXP. LTDA","SP","SANTO ANDRE SEMPRE FRESQUINHO","TM","Pureza, Qualidade","Tradicional"
"SANTO ANDRE ALIM. IND. COM. IMP. E EXP. LTDA","SP","SANTO ANDRE TORRADO EM GRAOS","GR","Pureza, Qualidade","Tradicional"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","BLEND 53 DESCAFEINADO","TM","Pureza, Qualidade","Superior"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","BLEND 53 GOLD","TM","Pureza",""
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","BLEND 53 INTENSO","TM","Pureza, Qualidade","Extraforte"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","BLEND 53 INTENSO","TM","Pureza, Qualidade","Extraforte"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","BLEND 53 ORGANICO","TM","Pureza, Qualidade","Superior"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","BLEND 53 SUPERIOR","TM","Pureza, Qualidade","Superior"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","BLEND 53 TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","NORDESTAO","TM","Pureza, Qualidade","Tradicional"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","NORDESTINO","TM","Pureza, Qualidade","Tradicional"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ ALLEGRO","CAP","Pureza",""
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ CERRADO MINEIRO","TM","Pureza, Qualidade","Gourmet"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ COFFEE SHOP PREMIUM","TM","Pureza, Qualidade","Superior"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ DESCAFEINADO","CAP","Pureza",""
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ ESPECIAL DESCAFEINADO","TM","Pureza, Qualidade","Superior"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ FAMILIA","GR","Pureza",""
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ FAMILIA","TM","Pureza, Qualidade","Tradicional"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ GOURMET EXPORT","TM","Pureza, Qualidade","Gourmet"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ GOURMET SACHE","TM","Pureza",""
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ GOURMET SAVORY","TM","Pureza, Qualidade","Gourmet"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ MOGIANA","TM","Pureza, Qualidade","Gourmet"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ ORGANICO","CAP","Pureza",""
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ ORGANICO","TM","Pureza, Qualidade","Superior"
"SAO BRAZ S_A IND. E COM. DE ALIMENTOS S.A","PB","SAO BRAZ PERMIUM EM GRAOS","GR","Pureza, Qualidade","Superior"
